species_id,center_x,center_y,width,height
14,222.0,99.0,110,122
8,350.0,411.0,80,80
5,510.5,104.0,59,76
17,421.5,191.5,77,77
4,143.5,375.0,141,118
17,280.5,172.5,117,117
1,224.0,331.0,170,130
16,77.0,491.5,118,91
1,408.5,291.5,103,115
14,322.5,197.0,61,62
4,491.5,105.5,141,155
12,192.5,267.0,117,120
15,366.0,111.0,156,156
20,119.0,475.0,88,88
7,340.0,494.5,146,161
19,507.0,242.0,130,132
6,237.5,137.5,77,77
7,170.0,371.5,160,149
23,333.0,48.0,72,72
22,96.5,515.5,123,129
8,87.0,213.5,62,63
4,418.0,499.5,66,59
15,280.5,51.5,91,91
5,449.5,324.0,129,120
14,563.5,156.5,71,77
16,427.0,480.0,138,116
6,253.5,131.0,119,110
21,80.0,131.5,124,133
2,425.0,250.5,68,55
16,300.0,114.0,134,138
7,529.5,465.0,67,78
12,519.5,494.5,145,145
4,130.0,293.5,174,157
20,337.0,455.0,132,112
1,78.0,162.0,128,152
15,389.0,406.0,110,110
22,322.5,416.5,153,153
23,248.5,108.5,83,59
16,199.5,446.5,163,153
23,543.0,208.5,82,59
3,493.0,332.0,144,132
2,100.5,498.0,131,90
9,526.5,339.5,103,111
20,347.5,134.0,97,96
19,207.5,298.5,163,145
21,91.0,104.0,90,100
9,236.5,512.5,79,101
19,138.0,182.5,62,57
16,366.5,339.5,111,97
21,341.0,163.5,130,99
12,251.0,395.5,84,79
1,88.5,522.5,65,69
10,334.5,427.5,63,65
2,68.5,316.0,75,74
8,450.5,83.5,161,161
22,266.5,342.5,143,137
4,106.5,228.5,137,125
10,434.5,133.0,65,64
5,449.5,439.0,115,138
4,185.0,106.5,158,141
2,457.5,365.5,137,141
7,66.0,523.5,98,73
22,102.5,303.5,127,133
2,459.5,475.0,137,160
4,271.5,149.5,97,95
18,456.0,255.5,78,91
7,115.0,274.0,124,142
14,554.0,77.5,60,55
4,397.5,352.0,177,160
8,78.0,50.0,74,66
17,322.0,85.5,158,157
19,481.0,385.0,64,68
17,490.5,86.5,177,137
19,86.5,439.0,95,110
9,287.5,433.5,153,125
13,449.5,196.5,151,113
22,368.5,281.5,107,111
8,182.5,124.0,55,64
21,110.0,462.5,66,65
4,364.0,484.5,124,163
11,484.0,178.0,74,76
15,59.0,457.0,68,88
14,287.0,259.5,166,143
14,111.0,507.0,86,82
4,523.5,466.5,139,169
12,523.0,67.5,146,117
6,465.5,66.5,101,109
2,118.0,450.0,110,94
18,127.5,325.0,145,146
11,412.5,557.5,89,83
23,518.5,286.5,87,61
9,67.5,183.0,111,114
9,277.5,496.0,145,158
13,403.0,497.0,96,80
17,437.0,313.0,164,164
18,123.0,78.0,72,86
9,175.0,375.5,162,161
12,442.0,88.5,136,137
2,453.5,402.5,49,65
19,241.0,191.0,148,148
20,205.0,478.5,122,131
22,412.5,274.0,85,100
12,412.0,355.0,112,106
23,419.5,347.5,143,125
17,175.0,82.0,140,128
5,71.5,353.0,125,110
21,482.5,528.5,97,103
12,227.0,281.5,142,147
19,549.0,449.5,92,119
13,545.0,246.0,74,80
6,447.0,141.0,98,120
2,130.0,495.5,118,133
16,321.0,279.5,112,127
1,84.5,112.0,159,158
6,563.5,392.5,61,61
19,341.5,386.0,151,158
12,248.5,110.5,99,161
4,428.5,246.0,123,178
16,223.0,493.0,148,124
20,178.5,114.5,75,79
6,353.0,176.5,78,77
4,520.5,166.0,123,102
13,123.0,177.5,140,163
4,375.5,351.5,153,131
12,205.5,529.0,53,68
13,272.5,306.0,75,78
21,371.0,461.0,64,58
6,236.5,156.5,99,89
3,302.0,167.5,174,137
9,514.0,338.5,94,121
19,420.0,194.5,90,87
6,255.0,87.5,104,85
18,246.5,94.0,77,74
7,146.5,78.0,151,114
7,393.5,397.0,111,150
14,342.5,178.5,111,111
21,505.5,517.5,63,49
18,306.0,158.0,172,172
4,506.5,459.0,155,134
2,405.5,157.5,119,115
10,341.5,563.5,71,55
10,48.0,62.0,62,72
8,129.0,404.5,92,79
7,542.0,520.0,90,98
19,351.0,299.5,88,121
8,411.0,318.5,132,131
11,426.5,206.5,167,167
15,494.5,438.5,89,79
2,509.0,132.0,160,164
11,394.5,324.5,173,141
2,159.5,499.0,121,132
8,356.5,307.5,133,105
4,336.5,384.5,71,51
5,437.0,76.0,94,96
13,446.5,537.0,129,116
22,412.5,169.5,131,137
4,524.5,311.5,71,65
9,292.5,449.0,145,130
18,554.0,250.5,74,71
19,55.5,380.5,97,71
11,243.0,515.5,78,61
12,537.0,504.5,78,95
17,446.5,101.5,127,129
6,199.0,315.5,62,61
